Latitude,Longitude,ZipCode,Location
39.311777,-76.59570500000001,21213,[39.311777\, -76.59570500000001]
39.289113,-76.595017,21231,[39.289113\, -76.595017]
39.29995,-76.6059,21202,[39.29995\, -76.6059]
39.293,-76.600684,21202,[39.293\, -76.600684]
39.357403999999995,-76.691224,21215,[39.357403999999995\, -76.691224]
39.318459999999995,-76.594697,21218,[39.318459999999995\, -76.594697]
39.320451,-76.57505400000001,21213,[39.320451\, -76.57505400000001]
39.304435,-76.644281,21217,[39.304435\, -76.644281]
39.281919,-76.607729,21230,[39.281919\, -76.607729]
39.28705,-76.55581,21224,[39.28705\, -76.55581]
39.292953999999995,-76.618158,21201,[39.292953999999995\, -76.618158]
39.293987,-76.619773,21201,[39.293987\, -76.619773]
39.2433,-76.622775,21225,[39.2433\, -76.622775]
39.309891,-76.642393,21217,[39.309891\, -76.642393]
39.29489,-76.62125999999999,21201,[39.29489\, -76.62125999999999]
39.248496,-76.629692,21225,[39.248496\, -76.629692]
39.337571000000004,-76.666884,21215,[39.337571000000004\, -76.666884]
39.287849,-76.610116,21202,[39.287849\, -76.610116]
39.293246,-76.602704,21202,[39.293246\, -76.602704]
39.316037,-76.607445,21218,[39.316037\, -76.607445]
39.353015,-76.685237,21215,[39.353015\, -76.685237]
39.289384000000005,-76.61779,21201,[39.289384000000005\, -76.61779]
39.283978000000005,-76.61764699999999,21201,[39.283978000000005\, -76.61764699999999]
39.244502000000004,-76.620795,21225,[39.244502000000004\, -76.620795]
39.285587,-76.637984,21223,[39.285587\, -76.637984]
39.298204999999996,-76.61586,21201,[39.298204999999996\, -76.61586]
39.292853,-76.600116,21202,[39.292853\, -76.600116]
39.286952,-76.597739,21231,[39.286952\, -76.597739]
39.319520000000004,-76.612954,21218,[39.319520000000004\, -76.612954]
39.318271,-76.57746800000001,21213,[39.318271\, -76.57746800000001]
39.312432,-76.611052,21218,[39.312432\, -76.611052]
39.312228999999995,-76.588435,21213,[39.312228999999995\, -76.588435]
39.29167,-76.61708399999999,21201,[39.29167\, -76.61708399999999]
39.292840000000005,-76.62389499999999,21201,[39.292840000000005\, -76.62389499999999]
39.346728000000006,-76.674801,21215,[39.346728000000006\, -76.674801]
39.292618,-76.603337,21202,[39.292618\, -76.603337]
39.293295,-76.602213,21202,[39.293295\, -76.602213]
39.33854,-76.66362,21215,[39.33854\, -76.66362]
39.291245,-76.611114,21202,[39.291245\, -76.611114]
39.249429,-76.6298,21225,[39.249429\, -76.6298]
39.347398999999996,-76.673583,21215,[39.347398999999996\, -76.673583]
39.323562,-76.608829,21218,[39.323562\, -76.608829]
39.299909,-76.602239,21202,[39.299909\, -76.602239]
39.308853000000006,-76.646459,21217,[39.308853000000006\, -76.646459]
39.294053000000005,-76.616793,21201,[39.294053000000005\, -76.616793]
39.318459999999995,-76.594697,21218,[39.318459999999995\, -76.594697]
39.291325,-76.624648,21201,[39.291325\, -76.624648]
39.302955,-76.633128,21217,[39.302955\, -76.633128]
39.289645,-76.62415899999999,21201,[39.289645\, -76.62415899999999]
39.278279,-76.618031,21230,[39.278279\, -76.618031]
39.305112,-76.635566,21217,[39.305112\, -76.635566]
39.29117,-76.613976,21202,[39.29117\, -76.613976]
39.29374,-76.601853,21202,[39.29374\, -76.601853]
39.361739,-76.69888,21215,[39.361739\, -76.69888]
39.313036,-76.61661,21218,[39.313036\, -76.61661]
39.242225,-76.62550300000001,21225,[39.242225\, -76.62550300000001]
39.3068,-76.644716,21217,[39.3068\, -76.644716]
39.296299,-76.616957,21201,[39.296299\, -76.616957]
39.287366,-76.634676,21223,[39.287366\, -76.634676]
39.297977,-76.66520600000001,21216,[39.297977\, -76.66520600000001]
39.296764,-76.579964,21205,[39.296764\, -76.579964]
39.316257,-76.61042900000001,21218,[39.316257\, -76.61042900000001]
39.283346,-76.640686,21223,[39.283346\, -76.640686]
39.300601,-76.602715,21202,[39.300601\, -76.602715]
39.290399,-76.593869,21231,[39.290399\, -76.593869]
39.24824,-76.63086,21225,[39.24824\, -76.63086]
39.300928000000006,-76.61575400000001,21201,[39.300928000000006\, -76.61575400000001]
39.314009000000006,-76.611211,21218,[39.314009000000006\, -76.611211]
39.313488,-76.599726,21218,[39.313488\, -76.599726]
39.320921999999996,-76.609532,21218,[39.320921999999996\, -76.609532]
39.249631,-76.63295,21225,[39.249631\, -76.63295]
39.298915,-76.580905,21205,[39.298915\, -76.580905]
39.310497999999995,-76.63255699999999,21217,[39.310497999999995\, -76.63255699999999]
39.315323,-76.58219,21213,[39.315323\, -76.58219]
39.293968,-76.594117,21231,[39.293968\, -76.594117]
39.283061,-76.635196,21223,[39.283061\, -76.635196]
39.299225,-76.573121,21205,[39.299225\, -76.573121]
39.284307,-76.645788,21223,[39.284307\, -76.645788]
39.298140999999994,-76.587517,21205,[39.298140999999994\, -76.587517]
39.292327,-76.615414,21201,[39.292327\, -76.615414]
39.286851,-76.59604499999999,21231,[39.286851\, -76.59604499999999]
39.287415,-76.623616,21201,[39.287415\, -76.623616]
39.309613,-76.652712,21216,[39.309613\, -76.652712]
39.309079,-76.667563,21216,[39.309079\, -76.667563]
39.305192,-76.644086,21217,[39.305192\, -76.644086]
39.29283,-76.621145,21201,[39.29283\, -76.621145]
39.285747,-76.61081,21202,[39.285747\, -76.61081]
39.285578,-76.59355699999999,21231,[39.285578\, -76.59355699999999]
39.34887,-76.67585,21215,[39.34887\, -76.67585]
39.31156,-76.639296,21217,[39.31156\, -76.639296]
39.320915,-76.607789,21218,[39.320915\, -76.607789]
39.298325,-76.60786999999999,21202,[39.298325\, -76.60786999999999]
39.299365,-76.62660100000001,21201,[39.299365\, -76.62660100000001]
39.305112,-76.635566,21217,[39.305112\, -76.635566]
39.307301,-76.644213,21217,[39.307301\, -76.644213]
39.30445,-76.668745,21216,[39.30445\, -76.668745]
39.283082,-76.648399,21223,[39.283082\, -76.648399]
39.288027,-76.597514,21231,[39.288027\, -76.597514]
39.300438,-76.604303,21202,[39.300438\, -76.604303]
39.284425,-76.596724,21231,[39.284425\, -76.596724]
39.30887,-76.616101,21201,[39.30887\, -76.616101]
39.306478000000006,-76.669179,21216,[39.306478000000006\, -76.669179]
39.301375,-76.609774,21202,[39.301375\, -76.609774]
39.243618,-76.626069,21225,[39.243618\, -76.626069]
39.29867,-76.58499300000001,21205,[39.29867\, -76.58499300000001]
39.289257,-76.59380300000001,21231,[39.289257\, -76.59380300000001]
39.30055,-76.625118,21201,[39.30055\, -76.625118]
39.30376,-76.643846,21217,[39.30376\, -76.643846]
39.28921,-76.609755,21202,[39.28921\, -76.609755]
39.308489,-76.657154,21216,[39.308489\, -76.657154]
39.30973,-76.64992099999999,21217,[39.30973\, -76.64992099999999]
39.247836,-76.62625600000001,21225,[39.247836\, -76.62625600000001]
39.308463,-76.61075100000001,21202,[39.308463\, -76.61075100000001]
39.250639,-76.632866,21225,[39.250639\, -76.632866]
39.301316,-76.667342,21216,[39.301316\, -76.667342]
39.287529,-76.635958,21223,[39.287529\, -76.635958]
39.303492,-76.64388000000001,21217,[39.303492\, -76.64388000000001]
39.24487,-76.62798000000001,21225,[39.24487\, -76.62798000000001]
39.312,-76.592326,21213,[39.312\, -76.592326]
39.334465,-76.665989,21215,[39.334465\, -76.665989]
39.303537,-76.63564699999999,21217,[39.303537\, -76.63564699999999]
39.299029,-76.578085,21205,[39.299029\, -76.578085]
39.305448,-76.616364,21201,[39.305448\, -76.616364]
39.302489,-76.632308,21217,[39.302489\, -76.632308]
39.33563,-76.66328,21215,[39.33563\, -76.66328]
39.245028000000005,-76.62498599999999,21225,[39.245028000000005\, -76.62498599999999]
39.287356,-76.597433,21231,[39.287356\, -76.597433]
39.358776,-76.69390200000001,21215,[39.358776\, -76.69390200000001]
39.299112,-76.575962,21205,[39.299112\, -76.575962]
39.288678000000004,-76.620948,21201,[39.288678000000004\, -76.620948]
39.310153,-76.640912,21217,[39.310153\, -76.640912]
39.305901,-76.644092,21217,[39.305901\, -76.644092]
39.285255,-76.610822,21202,[39.285255\, -76.610822]
39.281859000000004,-76.609305,21230,[39.281859000000004\, -76.609305]
39.308514,-76.655912,21216,[39.308514\, -76.655912]
39.284197,-76.618899,21201,[39.284197\, -76.618899]
39.287141999999996,-76.558053,21224,[39.287141999999996\, -76.558053]
39.295446000000005,-76.620446,21201,[39.295446000000005\, -76.620446]
39.299036,-76.62795200000001,21201,[39.299036\, -76.62795200000001]
39.298914,-76.624478,21201,[39.298914\, -76.624478]
39.321314,-76.574455,21213,[39.321314\, -76.574455]
39.292481,-76.601998,21202,[39.292481\, -76.601998]
39.247959,-76.63104399999999,21225,[39.247959\, -76.63104399999999]
39.299387,-76.60571,21202,[39.299387\, -76.60571]
39.300228000000004,-76.60470600000001,21202,[39.300228000000004\, -76.60470600000001]
39.281932,-76.651191,21223,[39.281932\, -76.651191]
39.308785,-76.648996,21217,[39.308785\, -76.648996]
39.298646999999995,-76.587869,21205,[39.298646999999995\, -76.587869]
39.300326,-76.626191,21201,[39.300326\, -76.626191]
39.250484,-76.631866,21225,[39.250484\, -76.631866]
39.304001,-76.643863,21217,[39.304001\, -76.643863]
39.293489,-76.693827,21229,[39.293489\, -76.693827]
39.247172,-76.629874,21225,[39.247172\, -76.629874]
39.28532,-76.643621,21223,[39.28532\, -76.643621]
39.288607,-76.597213,21231,[39.288607\, -76.597213]
39.303665,-76.634952,21217,[39.303665\, -76.634952]
39.311306,-76.611809,21202,[39.311306\, -76.611809]
39.242505,-76.62395500000001,21225,[39.242505\, -76.62395500000001]
39.295792,-76.622656,21201,[39.295792\, -76.622656]
39.301009,-76.605687,21202,[39.301009\, -76.605687]
39.28768,-76.59563100000001,21231,[39.28768\, -76.59563100000001]
39.293022,-76.603181,21202,[39.293022\, -76.603181]
