"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1542412800000,"19:27:00","9S","1500 RAMSAY ST","SHOOTING","Outside","FIREARM",935,"SOUTHERN","NEW SOUTHWEST/MOUNT CLARE",-76.6407757757,39.2833756285,null,"STREET","Tri-District",1
1542326400000,"18:42:00","9S","2500 MARBOURNE AV","SHOOTING","Outside","FIREARM",923,"SOUTHERN","LAKELAND",-76.6498607076,39.2540045676,null,"STREET",null,1
1542153600000,"16:37:00","9S","2500 SPRINGHILL AV","SHOOTING","Outside","FIREARM",533,"NORTHERN","GREENSPRING",-76.6586933952,39.3329934422,null,"STREET",null,1
1542153600000,"16:58:00","9S","4700 WRENWOOD AV","SHOOTING","Outside","FIREARM",524,"NORTHERN","WILSON PARK",-76.606674,39.34427,null,"STREET",null,1
1542067200000,"09:36:00","9S","6500 COLGATE AV","SHOOTING","Outside","FIREARM",243,"SOUTHEAST","SAINT HELENA",-76.5322035257,39.260715155,null,"STREET",null,1
1541894400000,"16:55:00","9S","5700 WINNER AV","SHOOTING","Outside","FIREARM",632,"NORTHWEST","MID-TOWN BELVEDERE",-76.680175,39.355494,null,"STREET",null,1
1541894400000,"18:08:00","9S","5100 QUEENSBERRY AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","CENTRAL PARK HEIGHTS",-76.671882,39.349955,null,"STREET",null,1
1541808000000,"21:37:00","9S","2900 W BELVEDERE AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","PIMLICO GOOD NEIGHBO",-76.6713329669,39.3514613177,null,"STREET",null,1
1541721600000,"19:37:00","9S","2200 RAMSAY ST","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","CARROLLTON RIDGE",-76.651225,39.282957,null,"STREET","Tri-District",1
1541721600000,"12:33:00","9S","3000 WALBROOK AV","SHOOTING","Inside","FIREARM",811,"SOUTHWEST","WALBROOK",-76.6682722243,39.3101255237,null,"DWELLING",null,1
1541721600000,"19:37:00","9S","2200 RAMSAY ST","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","CARROLLTON RIDGE",-76.651225,39.282957,null,"STREET","Tri-District",1
1541635200000,"20:38:00","9S","1600 N WOLFE ST","SHOOTING","Outside","FIREARM",331,"EASTERN","BROADWAY EAST",-76.5915550618,39.3088391474,null,"STREET","Eastern 1",1
1541635200000,"23:32:00","9S","0 N MORLEY ST","SHOOTING","Outside","FIREARM",842,"SOUTHWEST","SAINT JOSEPHS",-76.67389786,39.2870216957,null,"STREET",null,1
1541635200000,"18:53:00","9S","2300 E CHASE ST","SHOOTING","Outside","FIREARM",322,"EASTERN","BIDDLE STREET",-76.584976058,39.3036396447,null,"STREET","Eastern 2",1
1541548800000,"02:41:00","9S","5300 FRANKFORD AV","SHOOTING","Outside","FIREARM",444,"NORTHEAST","FRANKFORD",-76.5407962232,39.3244181731,null,"PUBLIC AREA",null,1
1541548800000,"21:55:00","9S","2300 WILKENS AV","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","CARROLLTON RIDGE",-76.652126,39.280308,null,"ALLEY","Tri-District",1
1541462400000,"19:19:00","9S","2500 WOODBROOK AV","SHOOTING","Outside","FIREARM",733,"WESTERN","PENN NORTH",-76.643047,39.312003,null,"STREET","Western",1
1541462400000,"10:50:00","9S","2900 W GARRISON AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","CENTRAL PARK HEIGHTS",-76.669194,39.349662,null,"STREET",null,1
1541462400000,"19:19:00","9S","2500 WOODBROOK AV","SHOOTING","Outside","FIREARM",733,"WESTERN","PENN NORTH",-76.643047,39.312003,null,"STREET","Western",1
1541376000000,"00:30:00","9S","500 E PATAPSCO AV","SHOOTING","Outside","FIREARM",913,"SOUTHERN","BROOKLYN",-76.6036163086,39.236747999,null,"STREET","Brooklyn",1
1541376000000,"14:53:00","9S","1800 PENNSYLVANIA AV","SHOOTING","Outside","FIREARM",123,"CENTRAL","UPTON",-76.635646,39.304302,null,"STREET",null,1
1541376000000,"14:53:00","9S","1800 PENNSYLVANIA AV","SHOOTING","Outside","FIREARM",123,"CENTRAL","UPTON",-76.635646,39.304302,null,"STREET",null,1
1541289600000,"13:09:00","9S","2500 E MONUMENT ST","SHOOTING","Outside","FIREARM",323,"EASTERN","MILTON-MONTFORD",-76.5822471519,39.2988785893,null,"STREET","Eastern 2",1
1541116800000,"00:05:52","9S","2200 KIRK AV","SHOOTING","Outside","FIREARM",342,"EASTERN",null,-76.6055969327,39.314769222,null,"PUBLIC AREA","Eastern 1",1
1541030400000,"03:24:00","9S","1200 JAMES ST","SHOOTING","Outside","FIREARM",932,"SOUTHERN","WASHINGTON VILLAGE",-76.6354166466,39.2821763765,null,"STREET",null,1
